codigo,descricao,quantidade,local,data_hora,responsavel,observacao
813281,Suporte orelha do BV,328,Kit,11/06/2025 00:00:00,,
813525,Eixo DZ novo,12,Montagem,11/06/2025 00:00:00,,
701154,Eixo DZ antigo,24,Montagem,11/06/2025 00:00:00,,
813271,Carcaça BV3 inferior,6,Pivo,23/06/2025 00:00:00,,
813270,Carcaça BV3 superior,8,Pivo,23/06/2025 00:00:00,,
813273,Carcaça BV4 inferior,,Pivo,23/06/2025 00:00:00,,
813272,Carcaça BV4 superior,1,Pivo,23/06/2025 00:00:00,,
813281,Suporte orelha do BV,408,Kit,23/06/2025 00:00:00,,
813306,Suporte orelha New BV,98,Kit,23/06/2025 00:00:00,,
813271,Carcaça BV3 inferior,2,Pivo e Furadeiras,26/06/2025 00:00:00,,
813270,Carcaça BV3 superior,13,Pivo e Furadeiras,26/06/2025 00:00:00,,
813273,Carcaça BV4 inferior,13,Pivo e Furadeiras,26/06/2025 00:00:00,,
813272,Carcaça BV4 superior,17,Pivo e Furadeiras,26/06/2025 00:00:00,,
813259,Carcaça New BV com encoder,6,Furadeiras,26/06/2025 00:00:00,,
813258,Carcaça New BV inferior,11,Furadeiras,26/06/2025 00:00:00,,
813265,Carcaça New BV superior,22,Furadeiras,26/06/2025 00:00:00,,
813306,Suporte orelha New BV,117,Kit,26/06/2025 00:00:00,,
813180,Tampa do Pivo,34,Pivo,26/06/2025 00:00:00,,
804123,Base superior do controle c/logo,573,Guarita,26/06/2025 00:00:00,,
813271,Carcaça BV3 inferior,7,Pivo e BV,30/06/2025 00:00:00,,
813270,Carcaça BV3 superior,9,Pivo e BV,30/06/2025 00:00:00,,
813273,Carcaça BV4 inferior,5,Pivo e BV,30/06/2025 00:00:00,,
813272,Carcaça BV4 superior,25,Pivo e BV,30/06/2025 00:00:00,,
813306,Suporte orelha New BV,311,Kit,30/06/2025 00:00:00,,
813273,Carcaça BV4 inferior,4,Pivo,02/07/2025 00:00:00,,
813272,Carcaça BV4 superior,19,Pivo,02/07/2025 00:00:00,,
813281,Suporte orelha do BV,84,Kit,02/07/2025 00:00:00,,
813306,Suporte orelha New BV,212,Kit,02/07/2025 00:00:00,,
813153,Base superior Industrial,8,Strong,02/07/2025 00:00:00,,
813199,Base de alumínio DZ,12,Dz,02/07/2025 00:00:00,,
813270,Carcaça BV3 superior,9,PIVO,07/07/2025 00:00:00,,
813272,Carcaça BV4 superior,35,PIVO,07/07/2025 00:00:00,,
813310,Cilindro da chave,86,PIVO,07/07/2025 00:00:00,,
813281,Suporte orelha do BV,153,Kit e PIVO,07/07/2025 00:00:00,,
813306,Suporte orelha New BV,577,Kit,07/07/2025 00:00:00,,
813146,Gomo alumínio,1401,Cremalheiras,07/07/2025 00:00:00,,
813251,Sem fim alumínio,570,Montagem,07/07/2025 00:00:00,,
813153,Base superior Industrial,2,Strong,10/07/2025 00:00:00,,
813271,Carcaça BV3 inferior,18,Pivo e Furadeiras,10/07/2025 00:00:00,,
813270,Carcaça BV3 superior,3,Pivo e Furadeiras,10/07/2025 00:00:00,,
813273,Carcaça BV4 inferior,11,Pivo e Furadeiras,10/07/2025 00:00:00,,
813272,Carcaça BV4 superior,40,Pivo e Furadeiras,10/07/2025 00:00:00,,
813258,Carcaça New BV inferior,2,Furadeiras,10/07/2025 00:00:00,,
813394,Aranha Industrial Superior,6,,10/07/2025 00:00:00,,
813393,Aranha Industrial Inferior,25,,10/07/2025 00:00:00,,
813241,Base Inferior Industrial,8,Strong,10/07/2025 00:00:00,,
813199,Base de alumínio DZ,16,,16/07/2025 00:00:00,,
813271,Carcaça BV3 inferior,5,Pivo e Furadeiras,16/07/2025 00:00:00,,
813270,Carcaça BV3 superior,15,Pivo e Furadeiras,16/07/2025 00:00:00,,
813273,Carcaça BV4 inferior,3,Pivo e Furadeiras,16/07/2025 00:00:00,,
813272,Carcaça BV4 superior,17,Pivo e Furadeiras,16/07/2025 00:00:00,,
813096,Engrenagem ext DZ nova,29,Montagem,16/07/2025 00:00:00,,
813243,Engrenagem ext industrial,3,Montagem,16/07/2025 00:00:00,,
813146,Gomo alumínio,803,Cremalheiras,16/07/2025 00:00:00,,
813306,Suporte orelha New BV,85,Kit,16/07/2025 00:00:00,,
813037,Engrenagem DZ antiga,15,Montagem,16/07/2025 00:00:00,,
813199,Base de alumínio DZ,112,Dz,18/07/2025 00:00:00,,
813271,Carcaça BV3 inferior,4,Pivo e Furadeiras,18/07/2025 00:00:00,,
813270,Carcaça BV3 superior,1,Pivo e Furadeiras,18/07/2025 00:00:00,,
813273,Carcaça BV4 inferior,10,Pivo e Furadeiras,18/07/2025 00:00:00,,
813272,Carcaça BV4 superior,30,Pivo e Furadeiras,18/07/2025 00:00:00,,
813281,Suporte orelha do BV,16,,18/07/2025 00:00:00,,
813262,Acoplamento New BV,149,Montagem,28/07/2025 00:00:00,,
813521,Borboleta,5,Pivo,28/07/2025 00:00:00,,
813271,Carcaça BV3 inferior,13,Pivo e furadeiras,28/07/2025 00:00:00,,
813270,Carcaça BV3 superior,18,Pivo e furadeiras,28/07/2025 00:00:00,,
813273,Carcaça BV4 inferior,30,Pivo e furadeiras,28/07/2025 00:00:00,,
813272,Carcaça BV4 superior,69,Pivo e furadeiras,28/07/2025 00:00:00,,
813265,Carcaça New BV superior,4,Furadeiras,28/07/2025 00:00:00,,
813281,Suporte orelha do BV,385,Kit e PIVO,28/07/2025 00:00:00,,
813271,Carcaça BV3 inferior,7,Furadeiras,30/07/2025 00:00:00,,
813270,Carcaça BV3 superior,3,Furadeiras,30/07/2025 00:00:00,,
