Código,Descrição,Média,Sistema,Galpão,Divergente,%,Data,Hora,Tipo,Observação,
412009,CJ ESTATOR ROTOR AGL DESL P35 1/3 cv 04 42Z 127V 60Hz,15,0.0,0.0,0.0,0.0,2026-05-26,15:48:00,,,
412091,CJ ESTATOR ROTOR AGL DESL P80 4P 3F 110V 60HZ,15,0.0,0.0,0.0,0.0,2026-05-26,15:48:00,,,
412182,CJ ESTATOR ROTOR BOBINADO AGL P17 1/7 cv 04 42Z 220V 60HZ FLORA HIDALGO,15,0.0,0.0,0.0,0.0,2026-05-26,15:48:00,,,
412377,MOTOR 4 POLOS 127V POLIA Ø20mm P/ LAV. ALTA CAPACIDADE,15,0.0,0.0,0.0,0.0,2026-05-26,15:49:00,,,
412392,MOTOR 4 POLOS 220V POLIA Ø20mm P/ LAV. ALTA CAPACIDADE COM PÉ,15,0.0,0.0,0.0,0.0,2026-05-26,15:49:00,,,
412183,MOTOR 4 POLOS 127V POLIA Ø20mm P/ LAV. ALTA CAPACIDADE COM PÉ,15,0.0,0.0,0.0,0.0,2026-05-26,15:49:00,,,
412184,MOTOR TANQUINHO COLORMAQ P24 220V 60HZ,15,0.0,0.0,0.0,0.0,2026-05-26,15:49:00,,,
412177,ESTATOR BOBINADO P20 220V 60HZ FLORA HIDALGO,20,0.0,0.0,0.0,0.0,2026-05-26,15:50:00,,,
412178,ESTATOR BOBINADO P20 127V 60HZ FLORA HIDALGO,20,0.0,0.0,0.0,0.0,2026-05-26,15:50:00,,,
412176,ESTATOR P20 4 POLOS ENCARTUCHADO FLORA HIDALGO,20,0.0,0.0,0.0,0.0,2026-05-26,15:50:00,,,
412008,ESTATOR BOBINADO AGL BV/NEW BV/PIVO P28 1/5 cv 04 42 127V 60Hz,76.5,166.0,57.0,-109.0,-1.912280701754386,2026-05-26,16:18:00,Inventário,Divergência muito alta de estoque,
412151,ESTATOR BOBINADO AGL NEW BV P39 04 42Z 220V 60HZ,110,10.0,0.0,-10.0,0.0,2026-05-26,16:26:00,Inventário,Inventariar para certificar que item não tem em estoque.,
813101,"CREMALHEIRA PERFIL AÇO GOMO DE ALUMÍNIO 1,5M",61.5,0.0,0.0,0.0,0.0,2026-05-26,16:28:00,Contado,,
813601,"SENSOR DE FIM DE CURSO REED BV/NEW BV/PIVO 1,5M",120,2179.0,544.0,-1635.0,-3.005514705882353,2026-05-26,16:40:00,Inventário,,
811809,CALÇO VINCADO BRAÇO MOTOR,1,5206.0,0.0,-5206.0,0.0,2026-05-26,16:45:00,,Postergar,
208004,IMÃ DE FERRITE - B20X13X5MM,1,9084.0,8175.0,-909.0,-0.11119266055045872,2026-05-26,16:51:00,Inventário,,
