id,id_inspecao,op,codigo,descricao,quantidade_programada,inspecao_completa,quantidade_nc,codigo_nc,observacao,codigo_item,descricao_item,destino,sem_fim,central,inspecoes,tensao
13,6,97319,2007087,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 127V SEM ACIONAMENTO - DUPLO,75,True,0,,,2007087,Manual,manual,Nacional,,,0,
14,6,97319,2007087,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 127V SEM ACIONAMENTO - DUPLO,75,True,0,,,2007087,Etiqueta Tampa,etiqueta_tampa,Nacional,,,0,
7,7,96959,2007087,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 127V SEM ACIONAMENTO - DUPLO,90,True,0,,,2007087,Estator,estator,Nacional,,,0,
8,7,96959,2007087,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 127V SEM ACIONAMENTO - DUPLO,90,True,0,,,2007087,Sem fim,sem_fim,Nacional,,,0,
9,7,96959,2007087,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 127V SEM ACIONAMENTO - DUPLO,90,True,0,,,2007087,Furo,furo,Nacional,,,0,
10,7,96959,2007087,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 127V SEM ACIONAMENTO - DUPLO,90,True,0,,,2007087,Capacitor,capacitor,Nacional,,,0,
11,7,96959,2007087,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 127V SEM ACIONAMENTO - DUPLO,90,True,0,,,2007087,Placa,placa,Nacional,,,0,
12,7,96959,2007087,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 127V SEM ACIONAMENTO - DUPLO,90,True,0,,,2007087,Jumper,jumper,Nacional,,,0,
13,7,96959,2007087,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 127V SEM ACIONAMENTO - DUPLO,90,True,0,,,2007087,KIT,kit,Nacional,,,0,
14,7,96959,2007087,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 127V SEM ACIONAMENTO - DUPLO,90,True,0,,,2007087,Manual,manual,Nacional,,,0,
15,7,96959,2007087,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 127V SEM ACIONAMENTO - DUPLO,90,True,0,,,2007087,Etiqueta Tampa,etiqueta_tampa,Nacional,,,0,
