CÓD DO PRODUTO,DESCRIÇÃO,CENTRAL,CARENAGEM,ESTATOR E SEM FIM,CAPACITOR,KIT DE INSTALAÇÃO
2007052,"CONJUNTO MOVIMENTADOR TRINO PIVO 3 220V - 1,5M EX",FLEX,PRETA PIVO,P33 220V 50HZ COM MOLA E SEM FIM BV 2 ENT,12UF,KIT SIMPLES
2007043,"CONJUNTO MOVIMENTADOR TRINO PIVÔ 4 127V - 0,75M - DUPLO EX",DUPLO,PRETA PIVO,P28 127V COM MOLA E SEM FIM BV 2 ENT,30UF,KIT DUPLO
2007050,"CONJUNTO MOVIMENTADOR TRINO PIVO 3 220V - 0,75M EX",FLEX,PRETA PIVO,P33 220V 50HZ COM MOLA E SEM FIM BV 2 ENT,12UF,KIT SIMPLES
2007036,"CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V - 0,75M - DUPLO EX",DUPLO,PRETA PIVO,P33 220V 50HZ COM MOLA E SEM FIM BV 2 ENT,12UF,KIT DUPLO
2007078,"CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V - 1,5M EX",FLEX,PRETA PIVO,P33 220V 50HZ COM MOLA E SEM FIM BV 2 ENT,12UF,KIT SIMPLES
2002005,"CONJ. MOVIMENTADOR TRINO BV4 1,5M 127V",FLEX,PRETA BV,P28 127V COM SEM FIM BV 2 ENT,30UF,
2002006,"CONJ. MOVIMENTADOR TRINO BV4 1,5M 220V",FLEX,PRETA BV,P28 220V COM SEM FIM BV 2 ENT,12UF,
2002007,"CONJ. MOVIMENTADOR TRINO BV4 2,0M 127V",FLEX,PRETA BV,P28 127V COM SEM FIM BV 2 ENT,30UF,
2002010,"CONJ. MOVIMENTADOR TRINO BV3 SPEED 1,5M 127V",FLEX,PRETA BV,P33 127V COM SEM FIM BV 2 ENT,30UF,
2002011,"CONJ. MOVIMENTADOR TRINO BV3 SPEED 1,5M 220V",FLEX,PRETA BV,P33 220V COM SEM FIM BV 2 ENT,12UF,
