Departamento,Unnamed: 1,Descrição,Seção,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Estoque mínimo,Estoque Máximo,Curva,Unnamed: 17,Estoque min,Estoque max,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Carteira
MOTORES,2001345,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ LOG,DESLIZANTE LOG,0,0,0,-81,-81,-81,-81,-711,-711,-711,-812,-1015,C,72,101,304,0,0,0,0,0,0,,0x17
MOTORES,2001015,"CREMALHEIRA RESIDENCIAL 1,5 METRO GOMO ALUM MOD 4",BARRA DENTADA,0,0,0,-56,-239,-39,-39,-59,-79,-79,-1866,-5441,A,1199,1787,5362,0,0,0,1,0,0,,0x17
MOTORES,2008034,CONJ. MOVIMENTADOR TRINO NEW BV LIGHT 127V SEM ACIONAMENTO,MOTORES NEW BV,0,0,0,-45,-50,-50,-50,-55,-60,-60,-70,-89,B,15,10,29,0,0,0,0,0,0,,0x17
MOTORES,2001189,CONJ. MOVIMENTADOR TRINO 900 220V 50-60HZ SEM CREMALHEIRA COM  B. ALUMINIUM,DESLIZANTE TRINO,0,0,0,-12,-12,-12,-12,-12,-12,-12,-16,-25,B,0,4,13,0,0,0,0,0,0,,
MOTORES,2001187,CONJ. MOVIMENTADOR TRINO 700 220V 50-60HZ SEM CREMALHEIRA COM  B. ALUMINIUM,DESLIZANTE TRINO,0,0,0,-12,-12,-12,-12,-12,-12,-12,-16,-23,C,0,4,11,0,0,0,0,0,0,,0x17
MOTORES,2010342,RADAR FOTOELÉTRICO PARA PORTA SOCIAL,REPOSIÇÃO E DIVERSOS -MOTOR,0,0,0,-10,-10,-10,-10,-10,-10,-10,-13,-18,C,0,3,8,0,0,0,0,0,0,,
MOTORES,2013504,"ACIONAMENTO MOVIMENTADOR TRINO DESLIZANTE HORIZONTAL 3,5M",ACIONAMENTOS DE MOTORES,0,0,0,-3,-3,-9,-9,-9,-9,-9,-28,-65,B,8,19,56,0,0,0,0,0,0,,0x17
MOTORES,2008082,CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO,MOTORES CADENA,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,C,0,0,0,0,0,0,0,0,0,,0x17
MOTORES,2005043,CONJ. MOVIMENTADOR P/ PORTA DE ENROLAR AC1000 - 220V SEM TESTEIRA,AUTOMATIZADORES PORTA DE ENROLAR,0,0,0,-2,-2,-2,-2,-2,-2,-2,-4,-7,B,0,2,5,0,0,0,0,0,0,,0x17
MOTORES,2008529,"ACIONAMENTO MOVIMENTADOR TRINO NEW BV 2,5M",ACIONAMENTOS DE MOTORES,0,0,0,-1,-1,-1,-1,-1,-1,-1,-7,-20,C,0,6,19,0,0,0,0,0,0,,0x17
MOTORES,2013509,"ACIONAMENTO MOVIMENTADOR TRINO DESLIZANTE HORIZONTAL 6,0M",ACIONAMENTOS DE MOTORES,0,0,0,-1,-1,-1,-1,-1,-1,-1,-3,-6,C,0,2,5,0,0,0,0,0,0,,0x17
MOTORES,2010114,"SENSOR DE FIM DE CURSO REED DO BASCULANTE/PIVO 1,5M",REPOSIÇÃO E DIVERSOS -MOTOR,0,0,0,0,-80,-100,-100,-100,-100,-100,-191,-372,C,165,91,272,0,0,0,0,0,0,,0x17
MOTORES,2001018,"CREMALHEIRA RESIDENCIAL 1,5 METRO GOMO PLÁSTICO MOD 4",BARRA DENTADA,0,0,0,0,-51,-51,-51,-371,-1011,-1011,-2867,-6578,A,1184,1856,5567,0,0,0,0,0,0,,
MOTORES,2008501,"ACIONAMENTO MOVIMENTADOR TRINO BV 1,5M",ACIONAMENTOS DE MOTORES,0,0,0,0,-38,-38,-38,-46,-46,-46,-234,-611,A,189,188,565,0,0,0,0,0,0,,0x17
MOTORES,2006053,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 127V 50-60HZ SEM CREMALHEIRA,DESLIZANTE INTELIGENTE IZZY,0,0,0,0,-29,-29,-29,-239,-439,-1039,-1553,-2581,A,179,514,1542,0,0,0,0,0,0,,0x17
MOTORES,2013503,"ACIONAMENTO MOVIMENTADOR TRINO DESLIZANTE HORIZONTAL 3,0M",ACIONAMENTOS DE MOTORES,0,0,0,0,-10,-16,-16,-16,-16,-16,-45,-103,B,5,29,87,0,0,0,0,0,0,,0x17
MOTORES,2008508,"ACIONAMENTO MOVIMENTADOR TRINO BV SPEED 2,0M",ACIONAMENTOS DE MOTORES,0,0,0,0,-10,-10,-10,-10,-10,-10,-14,-23,C,0,4,13,0,0,0,0,0,0,,0x17
MOTORES,2008509,"ACIONAMENTO MOVIMENTADOR TRINO BV SPEED 2,5M",ACIONAMENTOS DE MOTORES,0,0,0,0,-10,-10,-10,-10,-10,-10,-12,-17,C,0,2,7,0,0,0,0,0,0,,
MOTORES,2008510,"ACIONAMENTO MOVIMENTADOR TRINO BV SPEED 3,0M",ACIONAMENTOS DE MOTORES,0,0,0,0,-10,-10,-10,-10,-10,-10,-12,-15,C,0,2,5,0,0,0,0,0,0,,
MOTORES,2001035,CONJ. MOVIMENTADOR TRINO 500 127V 50-60HZ SEM CREMALHEIRA,DESLIZANTE TRINO,0,0,0,0,-9,-9,-9,-9,-9,-9,-62,-168,A,52,53,159,0,0,0,0,0,0,,
MOTORES,2010004,ENGRENAGEM INTERNA TRINO LIGHT 300/500 - SEM IMÃ,REPOSIÇÃO E DIVERSOS -MOTOR,0,0,0,0,-7,-7,-7,-7,-7,-7,-52,-141,C,16,45,134,0,0,0,0,0,0,,0x17
MOTORES,2008033,CONJ. MOVIMENTADOR TRINO NEW BV3 SPEED 220V SEM ACIONAMENTO,MOTORES NEW BV,0,0,0,0,-6,-6,-6,-6,-6,-6,-71,-202,A,75,65,196,0,0,0,0,0,0,,0x17
MOTORES,2008519,"ACIONAMENTO MOVIMENTADOR TRINO BV SPEED 3,5M",ACIONAMENTOS DE MOTORES,0,0,0,0,-6,-6,-6,-6,-6,-6,-6,-6,C,0,0,0,0,0,0,0,0,0,,0x17
MOTORES,2010109,ENGRENAGEM INTERNA TRINO 700/900,REPOSIÇÃO E DIVERSOS -MOTOR,0,0,0,0,-5,-5,-5,-5,-5,-5,-18,-43,C,5,13,38,0,0,0,0,0,0,,0x17
MOTORES,2001040,CONJ. MOVIMENTADOR TRINO 700 220V 50-60HZ SEM CREMALHEIRA,DESLIZANTE TRINO,0,0,0,0,-3,-3,-3,-3,-3,-3,-21,-56,B,41,18,53,0,0,0,0,0,0,,
MOTORES,2006044,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA COM B. ALUMINIUM,DESLIZANTE INTELIGENTE IZZY,0,0,0,0,-3,-3,-3,-3,-3,-3,-5,-10,C,0,2,7,0,0,0,0,0,0,,0x17
MOTORES,2009508,"ACIONAMENTO P/ MOVIMENTADOR TRINO PIVÔ 0,50M",ACIONAMENTOS DE MOTORES,0,0,0,0,-3,-3,-3,-3,-3,-3,-22,-61,C,23,19,58,0,0,0,0,0,0,,0x17
MOTORES,2008042,CONJ. MOVIMENTADOR TRINO NEW BV HEAVY 220V SEM ACIONAMENTO,MOTORES NEW BV,0,0,0,0,-2,-2,-2,-2,-2,-2,-6,-14,B,2,4,12,0,0,0,0,0,0,,0x17
MOTORES,2009502,"ACIONAMENTO MOVIMENTADOR PIVOTANTE 0,75M REPOSIÇÃO",ACIONAMENTOS DE MOTORES,0,0,0,0,-2,-2,-2,-2,-2,-2,-3,-4,C,0,1,2,0,0,0,0,0,0,,0x17
MOTORES,2003066,"KIT 90 UND INTER. DIGI. DIGITAL KEY 6P20 433,92 2 CANAIS PRETO COM BOTÃO PRETO",CONTROLES,0,0,0,0,-1,-2,-2,-2,-2,-2,-8,-19,C,6,6,17,0,0,0,0,0,0,,0x17
MOTORES,2001333,CONJ. MOVIMENTADOR TRINO 500 127V 50-60HZ - CONDOMINIAL 100 SEM CREMALHEIRA,DESLIZANTE TRINO,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-2,C,0,0,1,0,0,0,0,0,0,,0x17
MOTORES,2001300,CONJ. MOVIMENTADOR DZ INDUSTRIAL STRONG 1500KG 220V 50-60HZ SEM CREMALHEIRA,DESLIZANTE TRINO,0,0,0,0,-1,-1,-1,-1,-1,-1,-2,-3,C,0,1,2,0,0,0,0,0,0,,0x17
MOTORES,2009504,"ACIONAMENTO MOVIMENTADOR PIVOTANTE 1,5M REPOSIÇÃO",ACIONAMENTOS DE MOTORES,0,0,0,0,-1,-1,-1,-1,-1,-1,-2,-3,C,0,1,2,0,0,0,0,0,0,,0x17
MOTORES,2008538,"ACIONAMENTO MOVIMENTADOR TRINO NEW BV 2,5M FUSO Ø 5/8 P/ BV TURBO",ACIONAMENTOS DE MOTORES,0,0,0,0,-1,-1,-1,-1,-1,-1,-2,-5,C,0,1,4,0,0,0,0,0,0,,0x17
MOTORES,2005708,"CONJ. AUTOMATIZADOR PARA PORTA SOCIAL BRUSHLESS DZ SLIP C/R 4,40M PRETO ",PORTA SOCIAL,0,0,0,0,0,-7,-7,-7,-8,-8,-9,-10,C,1,1,2,0,0,0,0,0,0,,0x17
MOTORES,2005707,"CONJ. AUTOMATIZADOR PARA PORTA SOCIAL BRUSHLESS DZ SLIP C/R 3,30M PRETO ",PORTA SOCIAL,0,0,0,0,0,-5,-5,-5,-10,-10,-11,-13,C,2,1,3,0,0,0,0,0,0,,
MOTORES,2005702,"CONJ. AUTOMATIZADOR PARA PORTA SOCIAL BRUSHLESS DZ SLIP C/R 3,30M BRANCO ",PORTA SOCIAL,0,0,0,0,0,-5,-5,-5,-9,-9,-10,-11,C,2,1,2,0,0,0,0,0,0,,0x17
MOTORES,2008507,"ACIONAMENTO MOVIMENTADOR TRINO BV SPEED 1,5M",ACIONAMENTOS DE MOTORES,0,0,0,0,0,-4,-4,-4,-304,-604,-813,-1231,A,300,209,627,0,0,0,0,0,0,,0x17
MOTORES,2005731,KIT PARA PORTA SOCIAL DZ (SEM OS PERFIS DE ALUM),PORTA SOCIAL,0,0,0,0,0,-4,-4,-4,-4,-4,-8,-16,C,4,4,12,0,0,0,0,0,0,,
MOTORES,2005703,"CONJ. AUTOMATIZADOR PARA PORTA SOCIAL BRUSHLESS DZ SLIP C/R 4,40M BRANCO ",PORTA SOCIAL,0,0,0,0,0,-3,-3,-3,-9,-9,-10,-11,C,1,1,2,0,0,0,0,0,0,,
MOTORES,2010306,"PORCA DO FUSO NEW BV P.60 Ø 5/8 1,4M A 2,0M",REPOSIÇÃO E DIVERSOS -MOTOR,0,0,0,0,0,-2,-2,-2,-2,-2,-12,-32,C,5,10,30,0,0,0,0,0,0,,0x17
MOTORES,2010420,"PORCA DO FUSO NEW BV P.60 Ø 5/8 2,5M A 3,5M",REPOSIÇÃO E DIVERSOS -MOTOR,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-3,C,0,0,1,0,0,0,0,0,0,,0x17
CANCELAS,1015009,"CANCELA AGUSTA BRUSHLESS P/ BARREIRA SEM LOGO DC 1,2S - ATÉ 4,0M CINZA",CANCELA,0,-29,-29,-29,-32,-32,-32,-42,-42,-42,-50,-67,A,11,8,25,0,0,0,0,0,0,,0x17
CANCELAS,1015008,"CANCELA AGUSTA BRUSHLESS P/ BARREIRA SEM LOGO DC 2,5S - 4,5M A 6M CINZA",CANCELA,0,-23,-23,-23,-23,-23,-43,-43,-73,-73,-81,-96,A,9,8,23,0,0,0,0,0,0,,0x17
CANCELAS,1015002,"CANCELA AGUSTA BRUSHLESS P/ BARREIRA AGL DC 2,5S - 4,5M A 6M CINZA",CANCELA,0,-9,-9,-21,-24,-24,-24,-24,-24,-24,-32,-47,A,8,8,23,0,0,0,0,0,0,,0x17
CANCELAS,1015001,"CANCELA AGUSTA BRUSHLESS P/ BARREIRA AGL DC 1,2S - ATÉ 4,0M CINZA",CANCELA,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-10,-25,A,5,8,23,0,0,0,0,0,0,,0x17
CANCELAS,1015553,TAMPA DA CANCELA,REPOSIÇÃO E DIVERSOS -CANCELAS,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-3,C,0,1,2,0,0,0,0,0,0,,0x17
CANCELAS,1015513,"BARREIRA CANCELA AGUSTA BRUSHLESS AGL DC COM LED - 6,0M	",BARREIRAS PARA CANCELAS,0,0,0,-1,-1,-1,-1,-1,-1,-1,-3,-7,B,0,2,6,0,0,0,0,0,0,,
CANCELAS,1015004,"CANCELA AGUSTA BRUSHLESS P/ BARREIRA AGL DC 2,5S - 4,5M A 6M BRANCA",CANCELA,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,C,0,0,0,0,0,0,0,0,0,,0x17
CANCELAS,1015003,"CANCELA AGUSTA BRUSHLESS P/ BARREIRA AGL DC 1,2S - ATÉ 4,0M BRANCA",CANCELA,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-2,B,0,0,1,0,0,0,0,0,0,,0x17
CANCELAS,1015503,"BARREIRA CANCELA AGUSTA BRUSHLESS AGL DC COM LED - 3,5M",BARREIRAS PARA CANCELAS,0,0,0,0,-8,-8,-8,-8,-8,-8,-11,-16,B,5,3,8,0,0,0,0,0,0,,0x17
CANCELAS,1015541,CENTRAL BRUSHLESS DC 24V - PARA CANCELA C/ CONTROLE,REPOSIÇÃO E DIVERSOS -CANCELAS,0,0,0,0,-5,-5,-5,-5,-5,-5,-6,-9,B,1,1,4,0,0,0,0,0,0,,0x17
CANCELAS,1015511,"BARREIRA CANCELA AGUSTA BRUSHLESS AGL DC COM LED - 5,0M",BARREIRAS PARA CANCELAS,0,0,0,0,-3,-3,-3,-3,-3,-3,-5,-9,B,7,2,6,0,0,0,0,0,0,,0x17
CANCELAS,1015026,"CANCELA I10 BRUSHLESS P/ BARREIRA INOVE CERTO DC 2,5S - 4,5M A 6M CINZA",CANCELA,0,0,0,0,0,-10,-10,-20,-20,-20,-20,-20,C,0,0,0,0,0,0,0,0,0,,0x17
CANCELAS,1015504,"BARREIRA CANCELA AGUSTA BRUSHLESS AGL DC COM LED - 4,0M",BARREIRAS PARA CANCELAS,0,0,0,0,0,0,0,-5,-5,-5,-10,-21,B,24,5,16,0,0,0,0,0,0,,
