CÓD DO PRODUTO,DESCRIÇÃO,CENTRAL,BASE,ENGRENAGEM,ESTATOR E SEM FIM,CAPACITOR,TAMPA,CILINDRO,CONTROLE,Unnamed: 10
2001293,CONJ.MOV TRINO SPEED TURBO PRO 800 SDOOR 220V INVERTER BIVOLT 50-60HZ B. AL SEM CREMALH EX,NEW INVERTER,ALUMIN C/ENCODER,NYLON 1 ENT COM IMÃ,P39 110V TRIF 1 ENT (AÇO),NÃO USA,CINZA C/ VENEZIANA,METAL ,COM BORNE,
2001294,CONJ. MOVIMENTADOR DZ INDUSTRIAL STRONG 1000KG SDOOR 220V 50-60HZ SEM CREMALHEIRA EX,CCMD INDUSTRIAL,ALUMÍNIO IND,NYLON IND COM IMÃ,P45 220V 50HZ 1 ENT (AÇO),20UF,PRETA IND,METAL ,COM BORNE,
2001295,CONJ. MOVIMENTADOR DZ INDUSTRIAL STRONG 1500KG SDOOR 220V 50-60HZ SEM CREMALHEIRA EX,CCMD INDUSTRIAL,ALUMÍNIO IND,NYLON IND COM IMÃ,P60 220V (AÇO),20UF,PRETA IND,METAL ,COM BORNE,
2001296,CONJ. MOVIMENTADOR DZ INDUSTRIAL STRONG 2000KG SDOOR 220V 50-60HZ SEM CREMALHEIRA EX,CCMD INDUSTRIAL,ALUMÍNIO IND,NYLON IND COM IMÃ,P80 220V (AÇO),20UF,PRETA IND,METAL ,COM BORNE,
2001069,CONJ. MOVIMENTADOR TRINO 300 127V 50-60HZ C/ CREMALHEIRA 3MT EX,FLEX,SEM ENCODER,NYLON 1 ENT SEM IMÃ,P17 127V 1 ENT,30UF,PRETA,METAL ,COM BORNE,
2006030,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ C/ CREMALHEIRA 3MT EX,IZZY,COM ENCODER,NYLON 1 ENT COM IMÃ,P17 220V 50HZ 1 ENT,12UF,GRAFITE,METAL ,COM BORNE,
2006032,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 500 220V 50-60HZ C/ CREMALHEIRA 3MT EX,IZZY,COM ENCODER,NYLON 1 ENT COM IMÃ,P28 220V 50HZ 1 ENT,12UF,GRAFITE,METAL ,COM BORNE,
2006037,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 900 220V 50-60HZ COM B. ALUMINIUM C/ CREMALHEIRA 3MT EX,IZZY,B. ALUM C/ ENCODER,ZAMAC 1 ENT COM IMÃ,P45 220V 50HZ 1 ENT,12UF,GRAFITE C/ VENEZIANA,METAL ,COM BORNE,
2006048,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 700 220V 50-60HZ COM B. ALUMINIUM C/ CREMALHEIRA 3MT EX,IZZY,B. ALUM C/ ENCODER,ZAMAC 1 ENT COM IMÃ,P33 50HZ 220V 1 ENT,12UF,GRAFITE,METAL ,COM BORNE,
2001183,CONJ. MOVIMENTADOR TRINO 500 220V 50-60HZ SEM CREMALHEIRA COM  B. ALUMINIUM,FLEX,B. ALUM SEM ENCODER,NYLON 1 ENT SEM IMÃ,P28 220V 1 ENT,12UF,PRETA,METAL,COM BORNE,
2001219,CONJ. MOVIMENTADOR TRINO SPEED TURBO PRO 1/4 FREQUENCY INVERTER BIVOLT 50-60HZ B. ALUMINIUM C/ CREMALHEIRA 3MT EX,NEW INVERTER,ALUMIN C/ENCODER,NYLON 1 ENT COM IMÃ,P24 110V TRIF 1 ENT (AÇO),NÃO USA,CINZA C/ VENEZIANA,METAL ,COM BORNE,
